name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Perkins Restaurant & Bakery,"315 Collins Rd NE, Cedar Rapids, IA 52402, United States",perkinsrestaurants.com,+1 319-382-2122,1514,4.2,42.0018093,-91.7022834
Cheddar's Scratch Kitchen,"161 Collins Rd NE, Cedar Rapids, IA 52402, United States",cheddars.com,+1 319-393-4557,2249,4.3,42.0266309,-91.6980052
Black Sheep Social Club,"600 1st St SE, Cedar Rapids, IA 52401, United States",iamtheblacksheep.com,+1 319-200-7070,1649,4.5,41.9737847,-91.7372045
The Map Room,"416 3rd St SE, Cedar Rapids, IA 52401, United States",maproomcr.com,+1 319-362-0417,1153,4.7,41.9764345,-91.7364017
LP - Street Food,"302 3rd Ave SW, Cedar Rapids, IA 52404, United States",lpstreetfood.com,+1 319-364-4042,1219,4.6,41.9764345,-91.7364017
Biaggi's Ristorante Italiano,"320 Collins Rd NE, Cedar Rapids, IA 52402, United States",biaggis.com,+1 319-393-6593,1533,4.4,42.0285603,-91.7058151
Midtown Station,"715 2nd Ave SE, Cedar Rapids, IA 52401, United States",epiccateringia.com,+1 319-200-1094,595,4.5,41.9812261,-91.7336971
Granite City Food & Brewery,"4755 1st Ave SE, Cedar Rapids, IA 52402, United States",gcfb.com,+1 319-395-7500,1316,4.3,42.02513,-91.6934978
The Blind Pig,"3325 Center Point Rd NE, Cedar Rapids, IA 52402, United States",blindpigcr.com,+1 319-200-4127,1330,4.5,42.011543,-91.7362377
Daisy's Garage,"5240 Edgewood Rd NE STE 100, Cedar Rapids, IA 52411, United States",daisysgarageia.com,+1 319-654-5806,1229,4.2,42.0313072,-91.7728653
Emil's Hideaway,"222 Glenbrook Dr SE, Cedar Rapids, IA 52403, United States",emilshideaway.com,+1 319-743-3123,1422,4.6,42.0218209,-91.6994062
Rock Bar American Grill,"219 2nd Ave SE, Cedar Rapids, IA 52401, United States",rockbarcr.com,+1 319-200-7625,654,4.2,41.978104,-91.7391788
Irish Democrat,"3207 1st Ave SE, Cedar Rapids, IA 52402, United States",irishdemocratcr.com,+1 319-364-9896,1267,4.4,41.978104,-91.7391788
Vino's Ristorante,"3611 1st Ave SE, Cedar Rapids, IA 52402, United States",vinosristorante.com,+1 319-363-7550,314,4.4,41.978104,-91.7391788
Bricks Bar & Grill,"320 2nd Ave SE, Cedar Rapids, IA 52401, United States",,+1 319-362-7425,827,4.4,41.978104,-91.7391788
Olive Garden Italian Restaurant,"367 Collins Rd NE, Cedar Rapids, IA 52402, United States",olivegarden.com,+1 319-378-6401,2547,4.3,42.027541,-91.7076658
The Pedaler's Fork,"2010 Sylvia Ave NE, Cedar Rapids, IA 52402, United States",thepedalersfork.com,+1 319-826-2490,681,4.5,42.0305888,-91.7408779
Phong Lan Restaurant,"216 8th St SE, Cedar Rapids, IA 52401, United States",,+1 319-365-5784,506,4.6,41.9813349,-91.7325418
Bo Mac's,"219 16th Ave SE, Cedar Rapids, IA 52401, United States",,+1 319-826-3154,433,4.5,41.9813349,-91.7325418
Barrel House,"102 2nd St SE, Cedar Rapids, IA 52401, United States",barrelhousepub.com,+1 319-364-0835,263,4.0,41.9813349,-91.7325418
I'm Soul Hungry,"1632 1st Ave NW, Cedar Rapids, IA 52405, United States",,+1 319-310-9776,11,4.6,41.9710923,-91.766866
16th Avenue Grill,"3130 16th Ave SW, Cedar Rapids, IA 52404, United States",16thavenuegrill.com,+1 319-261-1249,396,4.3,41.9710923,-91.766866
Champs Chicken,"250 16th Ave SW, Cedar Rapids, IA 52404, United States",champschicken.com,+1 319-364-3835,9,3.7,41.9710923,-91.766866
Siamville Thai Cuisine,"3635 1st Ave SE, Cedar Rapids, IA 52403, United States",siamville.com,+1 319-364-1955,389,4.5,42.0151979,-91.7055086
Mikhael's,"1426 6th St SW, Cedar Rapids, IA 52404, United States",mikhaelscr.com,+1 319-366-3644,887,4.6,41.9630582,-91.7493192
Pub 217,"217 3rd St SE, Cedar Rapids, IA 52401, United States",crpub217.com,+1 319-200-4217,1077,4.5,41.9630582,-91.7493192
Bandana's Bar-B-Q Cedar Rapids IA,"3707 1st Ave SE, Cedar Rapids, IA 52402, United States",bandanasbbq.com,+1 319-432-6473,975,4.4,42.0163296,-91.7064122
Tornado's Grub & Pub,"1600 3rd St SE, Cedar Rapids, IA 52401, United States",m.facebook.com,+1 319-364-9378,878,4.7,41.9750534,-91.7392677
Lighthouse Inn,"6905 Mt Vernon Rd SE, Cedar Rapids, IA 52403, United States",homesteadcloud.com,+1 319-362-3467,470,4.2,41.9760008,-91.6366692
Olive Tree Restaurant,"2201 16th Ave SW, Cedar Rapids, IA 52404, United States",m.facebook.com,+1 319-364-0781,193,4.5,41.9623658,-91.7741633
Cross Roads Bistro,"232 16th Ave SW, Cedar Rapids, IA 52404, United States",facebook.com,+1 319-200-2727,345,4.5,41.9623658,-91.7741633
Little Bohemia,"1317 3rd St SE, Cedar Rapids, IA 52401, United States",,+1 319-366-6262,239,4.6,41.9688756,-91.7291505
The Lost Cuban,"312 3rd St SE, Cedar Rapids, IA 52401, United States",m.facebook.com,+1 319-362-2627,451,4.3,41.9688756,-91.7291505
Los Compadres Mexican Bar And Grill,"448 33rd Ave SW, Cedar Rapids, IA 52404, United States",loscompadresbarandgrill.com,+1 319-826-1870,1773,4.3,41.9442234,-91.746305
Zeppelins,"5300 Edgewood Rd NE, Cedar Rapids, IA 52411, United States",zeppelinscr.com,+1 319-393-3047,2009,4.5,42.032475,-91.7728538
Crosby's,"1028 3rd St SE Suite #1, Cedar Rapids, IA 52401, United States",crosbysiowa.com,+1 319-200-4449,106,4.5,41.971351,-91.7310501
Runts Munchies LLC.,"118 2nd St SE, Cedar Rapids, IA 52401, United States",m.facebook.com,+1 319-200-2517,274,4.7,41.971351,-91.7310501
North Point,"621 Center Point Rd NE Suite B, Cedar Rapids, IA 52402, United States",northpointcedarrapids.com,+1 319-200-4180,137,4.6,41.971351,-91.7310501
Taste Of India,"1060 Old Marion Rd NE, Cedar Rapids, IA 52402, United States",toicr.com,+1 319-294-6999,1217,4.5,42.0223256,-91.7220959
The Village Tap,"1616 6th St SW, Cedar Rapids, IA 52404, United States",m.facebook.com,+1 319-200-2698,219,4.6,41.9611914,-91.7495145
Cancun Mexican Grill & Bar,"365 33rd Ave SW, Cedar Rapids, IA 52404, United States",cancunmexicangrillcedarrapids.com,+1 319-365-0778,1369,4.3,41.9611914,-91.7495145
Mai Pho Restaurant,"2315 Edgewood Rd SW, Cedar Rapids, IA 52404, United States",maiphocr.com,+1 319-396-4337,577,4.5,41.9556415,-91.7871888
The Red Frog,"88 16th Ave SW, Cedar Rapids, IA 52404, United States",redfrogbar.com,+1 319-200-5005,209,4.6,41.9645552,-91.7336949
Sushi House,"2665 Edgewood Pkwy SW #100, Cedar Rapids, IA 52404, United States",sushihousemenu.com,+1 319-396-1990,1405,4.5,41.9519538,-91.7859353
