name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Heard Museum Shop,"2301 N Central Ave, Phoenix, AZ 85004, United States",heard.org,+1 602-252-8344,54,4.5,33.4722191,-112.3610505
AZ/88,"7353 E Scottsdale Mall, Scottsdale, AZ 85251, United States",az88.com,+1 480-994-5576,1995,4.5,33.4927468,-112.2115202
FnB Restaurant,"7125 E 5th Ave #31, Scottsdale, AZ 85251, United States",fnbrestaurant.com,+1 480-284-4777,559,4.6,33.4927468,-112.2115202
Virtu Honest Craft,"3701 N Marshall Way, Scottsdale, AZ 85251, United States",virtuscottsdale.com,+1 480-946-3477,653,4.6,33.4927468,-112.2115202
The Montauk,"4360 N Scottsdale Rd, Scottsdale, AZ 85251, United States",themontaukaz.com,+1 480-994-1888,1573,4.2,33.4927468,-112.2115202
Buca di Beppo Italian Restaurant,"3828 N Scottsdale Rd, Scottsdale, AZ 85251, United States",bucadibeppo.com,+1 480-949-6622,1761,4.2,33.4927468,-112.2115202
Maple & Ash,"7135 E Camelback Rd #130, Scottsdale, AZ 85251, United States",mapleandash.com,+1 480-400-8888,1700,4.5,33.4927468,-112.2115202
Uncle Sal's,"3370 Hayden Rd, Scottsdale, AZ 85251, United States",unclesalsaz.com,+1 480-990-2533,1563,4.5,33.4927468,-112.2115202
Atlas Bistro,"2515 N Scottsdale Rd #18, Scottsdale, AZ 85257, United States",atlasbistrobyob.com,+1 480-990-2433,143,4.8,33.4927468,-112.2115202
HULA'S Modern Tiki Scottsdale,"7213 E 1st Ave, Scottsdale, AZ 85251, United States",hulasmoderntiki.com,+1 480-970-4852,1830,4.5,33.4927468,-112.2115202
Cook and Craft - Scottsdale & Shea,"7306 E Shea Blvd, Scottsdale, AZ 85260, United States",cookandcraftaz.com,+1 480-207-1541,523,4.7,33.4927468,-112.2115202
Carlsbad Tavern,"3313 Hayden Rd, Scottsdale, AZ 85251, United States",carlsbadtavern.com,+1 480-970-8164,2742,4.5,33.4927468,-112.2115202
Houston's,"6113 N Scottsdale Rd, Scottsdale, AZ 85250, United States",,+1 480-922-7775,1705,4.4,33.4927468,-112.2115202
Franco's Italian Caffe,"4327 N Scottsdale Rd, Scottsdale, AZ 85251, United States",francosscottsdale.com,+1 480-481-7614,352,4.7,33.4927468,-112.2115202
Mowry and Cotton,"6000 E Camelback Rd, Scottsdale, AZ 85251, United States",thephoenician.com,+1 480-941-8200,273,4.5,33.4927468,-112.2115202
Metropolis,"7137 E Rancho Vista Dr b33, Scottsdale, AZ 85251, United States",metropolisaz.com,+1 480-621-6339,176,4.5,33.4927468,-112.2115202
Craft 64 Scottsdale,"6922 E Main St, Scottsdale, AZ 85251, United States",craft64.com,+1 480-946-0542,1293,4.7,33.4927468,-112.2115202
Los Sombreros,"2534 N Scottsdale Rd, Scottsdale, AZ 85257, United States",lossombreros.com,+1 480-685-9317,1769,4.4,33.4927468,-112.2115202
Daily Dose Old Town Bar & Grill,"4020 N Scottsdale Rd, Scottsdale, AZ 85251, United States",dailydosegrill.com,+1 480-994-3673,1311,4.6,33.4927468,-112.2115202
Los Olivos Mexican Patio,"7328 E 2nd St, Scottsdale, AZ 85251, United States",losolivosrestaurants.com,,3332,4.3,33.4927468,-112.2115202
Karsen's Grill,"7246 E 1st St #101, Scottsdale, AZ 85251, United States",karsensgrill.net,+1 480-990-7660,1020,4.7,33.4927468,-112.2115202
Butterfield's Pancake House & Restaurant,"7388 E Shea Blvd, Scottsdale, AZ 85260, United States",butterfieldsrestaurant.com,+1 480-951-6002,3383,4.7,33.4927468,-112.2115202
Flower Child,"10460 N 90th St, Scottsdale, AZ 85258, United States",iamaflowerchild.com,+1 480-240-4400,1576,4.6,33.4927468,-112.2115202
Cornish Pasty Co,"3800 N Goldwater Blvd, Scottsdale, AZ 85251, United States",cornishpastyco.com,+1 480-945-1220,2354,4.6,33.4927468,-112.2115202
Rehab Burger Therapy,"7210 E 2nd St, Scottsdale, AZ 85251, United States",rehabburgertherapy.com,+1 480-621-5358,4664,4.6,33.4927468,-112.2115202
Breakfast Club,"4400 N Scottsdale Rd, Scottsdale, AZ 85251, United States",breakfastclub.us,+1 480-222-2582,2455,4.5,33.4927468,-112.2115202
U.S. Egg Breakfast & Lunch Old Town Scottsdale,"3238 N Scottsdale Rd, Scottsdale, AZ 85251, United States",useggrestaurant.com,+1 480-947-7344,2340,4.5,33.4927468,-112.2115202
Randy's Restaurant & Ice Cream,"7904 E Chaparral Rd, Scottsdale, AZ 85250, United States",randysrestaurantaz.com,+1 480-941-8419,1844,4.6,33.4927468,-112.2115202
ShinBay,"3720 N Scottsdale Rd #201, Scottsdale, AZ 85251, United States",shin-bay.com,+1 480-361-1021,112,4.7,33.4927468,-112.2115202
