name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Clear Springs Restaurant,"211 Old Tyler Rd, Nacogdoches, TX 75961, United States",clearspringsrestaurant.com,+1 936-569-0489,1727,4.4,31.6282179,-94.7024143
Kinfolks Restaurant,"4817 NW Stallings Dr, Nacogdoches, TX 75964, United States",m.facebook.com,+1 936-569-2422,1113,4.4,31.6535641,-94.7532392
Auntie Pasta's Italian Restaurant,"211 Old Tyler Rd, Nacogdoches, TX 75964, United States",auntiepastas.com,+1 936-569-2171,1347,4.6,31.6535641,-94.7532392
Dolli's Diner,"116 S Pecan St, Nacogdoches, TX 75961, United States",,+1 936-305-5007,1389,4.7,31.6535641,-94.7532392
Napolis Italian Restaurant,"2119 North St, Nacogdoches, TX 75965, United States",napolisitalianrestaurants.com,+1 936-560-2002,1150,4.6,31.6535641,-94.7532392
Cotton Patch Cafe,"3117 North St, Nacogdoches, TX 75961, United States",cottonpatch.com,+1 936-569-6926,1036,4.3,31.6535641,-94.7532392
C C's Smokehouse Restaurant,"2709 Westward Dr, Nacogdoches, TX 75964, United States",ccsmokehouse.com,+1 936-462-8880,1015,4.4,31.6535641,-94.7532392
Maklemore's Ale-House & Bistro,"2304 North St, Nacogdoches, TX 75965, United States",maklemoresnac.com,+1 936-205-9183,1032,4.5,31.6535641,-94.7532392
El Ranchero Restaurant,"123 King St, Nacogdoches, TX 75961, United States",elrancheronac.com,+1 936-569-2256,1450,4.4,31.6535641,-94.7532392
Sombrero's Coastal Tex-Mex & Cantina,"3000 North St, Nacogdoches, TX 75961, United States",,+1 936-569-2800,562,4.1,31.6535641,-94.7532392
Sam's Southern Eatery (Nacogdoches),"1220 North St, Nacogdoches, TX 75961, United States",samsnacogdoches.com,+1 936-205-3113,200,4.5,31.6535641,-94.7532392
Bottlecap Alley Icehouse Grill,"3203 North St, Nacogdoches, TX 75965, United States",bottlecapalley.com,+1 936-559-0000,770,4.3,31.6535641,-94.7532392
Newk's Eatery,"3609 North St, Nacogdoches, TX 75965, United States",locations.newks.com,+1 936-559-8000,583,4.4,31.6535641,-94.7532392
Butcher Boy's,"603 North St, Nacogdoches, TX 75961, United States",butcherboysnac.com,+1 936-560-1137,1484,4.6,31.6535641,-94.7532392
Flashback Cafe,"109 Wettermark St, Nacogdoches, TX 75965, United States",flashbackcafe.com,+1 936-462-9550,384,4.1,31.6535641,-94.7532392
The Jalapeno Tree,"637 N University Dr, Nacogdoches, TX 75961, United States",jalapenotree.com,+1 936-715-9133,1323,4.1,31.6065081,-94.7151977
Frog's Restaurant,"1507 North St, Nacogdoches, TX 75965, United States",frogsnac.com,+1 936-205-4330,421,3.7,31.6065081,-94.7151977
NacBurger,"3205 N University Dr, Nacogdoches, TX 75965, United States",nacburger.com,+1 936-205-9835,414,4.5,31.6065081,-94.7151977
Peking Chinese Restaurant,"205 Creek Bend Blvd, Nacogdoches, TX 75965, United States",pekingnac.com,+1 936-564-0655,801,4.3,31.6065081,-94.7151977
Ocean Buffet,"3613 North St, Nacogdoches, TX 75965, United States",oceanbuffetonline.com,+1 936-559-8883,1102,3.7,31.6065081,-94.7151977
Super Yummy,"4604 North St #110, Nacogdoches, TX 75965, United States",superyummystirfry.com,+1 936-559-5020,1277,4.6,31.6065081,-94.7151977
Flashback Cafe,"109 Wettermark St, Nacogdoches, TX 75965, United States",flashbackcafe.com,+1 936-462-9550,384,4.1,31.6065081,-94.7151977
JP's Lil Cajun Kitchen,"2709 Westward Dr, Nacogdoches, TX 75964, United States",,+1 936-462-8310,58,4.4,31.6525238,-94.7534319
Stone House Kitchen,"312 E Main St, Nacogdoches, TX 75961, United States",square.site,+1 936-305-3400,80,4.3,31.6525238,-94.7534319
Papi's Restaurant & Cantina,"422 E Main St, Nacogdoches, TX 75961, United States",,+1 936-305-3714,49,4.7,31.6525238,-94.7534319
Asian City,"2732 North St, Nacogdoches, TX 75965, United States",asiancitynacoghes.com,+1 936-559-1230,269,4.1,31.6525238,-94.7534319
Chick-fil-A,"2804 North St, Nacogdoches, TX 75965, United States",chick-fil-a.com,+1 936-462-8681,1363,4.6,31.6525238,-94.7534319
Panda Cafe,"1224 North St, Nacogdoches, TX 75961, United States",,+1 936-568-0880,236,4.1,31.6525238,-94.7534319
Barkeep’s Eatery & Taps,"3308 North St, Nacogdoches, TX 75965, United States",barkeepsnac.com,+1 936-305-5344,508,4.2,31.6525238,-94.7534319
Nijiya Japanese Restaurant,"3205 N University Dr Suite A, Nacogdoches, TX 75965, United States",m.facebook.com,+1 936-569-2636,208,4.4,31.6323623,-94.7136048
The Barbecue House,"704 Stallings Dr N, Nacogdoches, TX 75965, United States",thebarbecuehousenac.com,+1 936-569-9004,436,3.9,31.6323623,-94.7136048
NacBurger,"3205 N University Dr, Nacogdoches, TX 75965, United States",nacburger.com,+1 936-205-9835,414,4.5,31.6323623,-94.7136048
D’Gorditas,"3609 SE Stallings Dr, Nacogdoches, TX 75961, United States",m.facebook.com,+1 936-305-3555,123,4.5,31.6323623,-94.7136048
Pueblo Viejo Mexican Restaurant,"2900 South St, Nacogdoches, TX 75964, United States",,+1 936-559-1225,44,3.9,31.5795266,-94.7432543
T Sandwiches,"1122 N University Dr, Nacogdoches, TX 75961, United States",,+1 936-569-0464,140,4.8,31.5795266,-94.7432543
Sports Shack Bar & Grill,"4601 North St, Nacogdoches, TX 75965, United States",,+1 936-205-4282,163,4.0,31.6475334,-94.7275772
Fuzzy's Taco Shop,"4909 North St #215, Nacogdoches, TX 75965, United States",fuzzystacoshop.com,+1 936-205-5661,1126,4.3,31.6475334,-94.7275772
Los 3 Potros Mexican Restaurant,"2214 South St, Nacogdoches, TX 75964, United States",los3potrosrestaurantnacogdoches.com,+1 936-371-3787,150,4.3,31.5854012,-94.7401754
Salma's Pizza and Indian Restaurant,"Inside Walmart Supercenter, 4810 North St, Nacogdoches, TX 75965, United States",ordersalspizzapastawings.com,+1 936-305-3795,98,4.7,31.6498618,-94.7274225
Taquitos El Jaliscience,"3217 North St, Nacogdoches, TX 75965, United States",,+1 936-205-9918,786,4.4,31.6498618,-94.7274225
Buffalo Wild Wings,"3521 North St, Nacogdoches, TX 75965, United States",buffalowildwings.com,+1 936-305-3466,427,4.0,31.6498618,-94.7274225
Jalisco Tacos,"1003 Martin Luther King Jr Blvd, Nacogdoches, TX 75961, United States",,+1 936-560-9800,66,4.6,31.5915924,-94.7190863
Brendyn's BBQ,"601 E Main St, Nacogdoches, TX 75961, United States",brendynsbbq.com,+1 936-585-1030,382,4.8,31.5915924,-94.7190863
